timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/10 06:15:46.288, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 43
2026/08/10 06:15:51.290, Tesla V100-PCIE-16GB, 0 %, 0 %, 4 MiB, 16384 MiB, 43
2026/08/10 06:15:56.291, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 45
2026/08/10 06:16:01.292, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 45
2026/08/10 06:16:06.293, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 45
2026/08/10 06:16:11.294, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 46
2026/08/10 06:16:16.295, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 46
2026/08/10 06:16:21.296, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 46
2026/08/10 06:16:26.297, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 46
2026/08/10 06:16:31.299, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/10 06:16:36.300, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/10 06:16:41.348, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/10 06:16:46.349, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/10 06:16:51.350, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/10 06:16:56.351, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:01.352, Tesla V100-PCIE-16GB, 36 %, 2 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:06.353, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:11.428, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:16.429, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:21.430, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:26.430, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:31.432, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:36.432, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:41.495, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:46.496, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:17:51.499, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:17:56.501, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 48
2026/08/10 06:18:01.503, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:06.506, Tesla V100-PCIE-16GB, 51 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:11.507, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:16.509, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:21.510, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:26.511, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:31.511, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:36.512, Tesla V100-PCIE-16GB, 51 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:41.513, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:46.514, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:51.515, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:18:56.515, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:01.516, Tesla V100-PCIE-16GB, 15 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:06.517, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:11.518, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:16.519, Tesla V100-PCIE-16GB, 40 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:21.520, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:26.523, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:31.524, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:36.525, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:41.527, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:46.528, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:51.579, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:19:56.580, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:20:01.581, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/10 06:20:06.582, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
